<b>[April 4, 2015 8:24 pm]</b> Confirmation message sent to rus@pureformgolf.com for appointment ID:1
<b>[April 5, 2015 1:16 pm]</b> Error calling POST https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events: (403) Forbidden
<b>[April 5, 2015 1:16 pm]</b> The insert did not create a real result we can work with
<b>[April 5, 2015 1:17 pm]</b> Error calling POST https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events: (403) Forbidden
<b>[April 5, 2015 1:17 pm]</b> The insert did not create a real result we can work with
<b>[April 5, 2015 2:40 pm]</b> Error calling POST https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events: (403) Forbidden
<b>[April 5, 2015 2:40 pm]</b> The insert did not create a real result we can work with
<b>[April 5, 2015 2:41 pm]</b> Error calling POST https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events: (403) Forbidden
<b>[April 5, 2015 2:41 pm]</b> The insert did not create a real result we can work with
<b>[April 5, 2015 2:43 pm]</b> Confirmation message sent to rus@pureformgolf.com for appointment ID:2
<b>[April 5, 2015 2:43 pm]</b> Error calling POST https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events: (403) Forbidden
<b>[April 5, 2015 2:43 pm]</b> The insert did not create a real result we can work with
<b>[April 5, 2015 8:13 pm]</b> Status of Appointment(s) with id(s):1, 2 changed to removed by user:admin
<b>[April 5, 2015 8:18 pm]</b> Error calling POST https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events: (403) Forbidden
<b>[April 5, 2015 8:18 pm]</b> The insert did not create a real result we can work with
<b>[April 5, 2015 8:19 pm]</b> Error calling POST https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events: (403) Forbidden
<b>[April 5, 2015 8:19 pm]</b> The insert did not create a real result we can work with
<b>[April 5, 2015 8:35 pm]</b> Confirmation message sent to rus@pureformgolf.com for appointment ID:3
<b>[April 5, 2015 8:35 pm]</b> Error calling POST https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events: (403) Forbidden
<b>[April 5, 2015 8:35 pm]</b> The insert did not create a real result we can work with
<b>[April 5, 2015 8:44 pm]</b> Status of Appointment(s) with id(s):3 changed to removed by user:admin
<b>[April 5, 2015 9:00 pm]</b> Error calling POST https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events: (403) Forbidden
<b>[April 5, 2015 9:00 pm]</b> The insert did not create a real result we can work with
<b>[April 14, 2015 1:36 am]</b> Confirmation message sent to rus@pureformgolf.com for appointment ID:4
<b>[April 14, 2015 1:36 am]</b> Error calling POST https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events: (403) Forbidden
<b>[April 14, 2015 1:36 am]</b> The insert did not create a real result we can work with
<b>[April 23, 2015 2:09 pm]</b> Reminder message sent to rus@pureformgolf.com for appointment ID:4
<b>[April 24, 2015 10:02 am]</b> Reminder message sent to will@pureformgolf.com for appointment ID:4
<b>[May 7, 2015 3:47 pm]</b> Confirmation message sent to rus@pureformgolf.com for appointment ID:5
<b>[May 7, 2015 3:47 pm]</b> Error calling POST https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events: (403) Forbidden
<b>[May 7, 2015 3:47 pm]</b> The insert did not create a real result we can work with
<b>[May 13, 2015 9:04 am]</b> Confirmation message sent to rus@pureformgolf.com for appointment ID:6
<b>[May 13, 2015 9:04 am]</b> Error calling POST https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events: (403) Forbidden
<b>[May 13, 2015 9:04 am]</b> The insert did not create a real result we can work with
<b>[May 13, 2015 10:06 am]</b> Reminder message sent to rus@pureformgolf.com for appointment ID:6
<b>[May 14, 2015 6:02 am]</b> Reminder message sent to will@pureformgolf.com for appointment ID:6
<b>[May 14, 2015 8:48 am]</b> Reminder message sent to rus@pureformgolf.com for appointment ID:5
<b>[May 14, 2015 1:55 pm]</b> Status of Appointment(s) with id(s):5 changed to removed by user:admin
<b>[May 14, 2015 2:06 pm]</b> Confirmation message sent to Rus@pureformgolf.com for appointment ID:7
<b>[May 14, 2015 2:06 pm]</b> Error calling POST https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events: (403) Forbidden
<b>[May 14, 2015 2:06 pm]</b> The insert did not create a real result we can work with
<b>[May 28, 2015 2:49 pm]</b> Reminder message sent to Rus@pureformgolf.com for appointment ID:7
<b>[May 29, 2015 10:47 am]</b> Reminder message sent to will@pureformgolf.com for appointment ID:7
<b>[May 29, 2015 11:10 am]</b> Status of Appointment(s) with id(s):7 changed to removed by user:admin
<b>[May 29, 2015 11:26 am]</b> Error calling POST https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events: (403) Forbidden
<b>[May 29, 2015 11:26 am]</b> The insert did not create a real result we can work with
<b>[May 29, 2015 12:53 pm]</b> Error calling POST https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events: (403) Forbidden
<b>[May 29, 2015 12:53 pm]</b> The insert did not create a real result we can work with
<b>[May 29, 2015 1:27 pm]</b> Confirmation message sent to rus@pureformgolf.com for appointment ID:8
<b>[May 29, 2015 1:27 pm]</b> Error calling POST https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events: (403) Forbidden
<b>[May 29, 2015 1:27 pm]</b> The insert did not create a real result we can work with
<b>[June 8, 2015 8:40 pm]</b> HTTP Error: (0) SSL connect error
<b>[June 8, 2015 8:40 pm]</b> Error refreshing the OAuth2 token, message: ''
<b>[June 8, 2015 8:40 pm]</b> Error calling GET https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events?timeMin=2015-06-08T20%3A40%3A42%2B00%3A00&timeMax=2016-06-07T20%3A40%3A42%2B00%3A00&singleEvents=true&maxResults=500&orderBy=startTime: (401) Invalid Credentials
<b>[June 10, 2015 8:10 am]</b> Reminder message sent to rus@pureformgolf.com for appointment ID:8
<b>[July 21, 2015 12:20 am]</b> HTTP Error: (0) Operation timed out after 20000 milliseconds with 0 bytes received
<b>[July 21, 2015 12:20 am]</b> Error calling GET https://www.googleapis.com/calendar/v3/calendars/pureformgolf.com_43mdmns48cucb2to8br86p2lss@group.calendar.google.com/events?timeMin=2015-07-21T00%3A20%3A40%2B00%3A00&timeMax=2016-07-20T00%3A20%3A40%2B00%3A00&singleEvents=true&maxResults=500&orderBy=startTime: (0) 
<b>[July 21, 2015 6:26 am]</b> HTTP Error: (0) Operation timed out after 20000 milliseconds with 0 bytes received
